SaleID,SaleDate,ProductID,Quantity,TotalPrice,CustomerID,StoreID,Profit
SALE0100022,2025-04-23,P1213,4,1880.12,CUST00894,STORE010,465.9278886680889
SALE0100023,2025-04-08,P1328,5,6182.85,CUST00494,STORE007,1034.5507300121662
SALE0100024,2025-06-08,P1444,5,570.15,CUST00433,STORE002,99.6371869283118
SALE0100025,2025-02-11,P2257,1,660.71,CUST00442,STORE006,143.3144027489597
SALE0100026,2025-06-07,P1965,4,2824.28,CUST00127,STORE008,465.94487213097506
SALE0100027,2025-04-08,P2371,2,334.32,CUST00994,STORE007,53.006341725056835
SALE0100028,2025-05-03,P1517,3,6298.86,CUST00330,STORE006,1092.0642412266877
SALE0100029,2025-05-19,P1567,1,2435.34,CUST00927,STORE010,375.7462222218929
SALE0100030,2025-05-05,P1931,5,292.7,CUST00959,STORE008,67.25390634401049
SALE0100031,2025-06-17,P2242,1,799.78,CUST00822,STORE008,159.49059322368524
SALE0100032,2025-06-28,P1938,3,447.57,CUST00273,STORE007,100.12448199369842
SALE0100033,2025-01-20,P1863,3,2613.03,CUST00617,STORE006,467.8753548179581
SALE0100034,2025-06-24,P1616,3,4008.06,CUST00858,STORE005,912.2950814486239
SALE0100035,2025-03-25,P1746,5,7624.6,CUST00818,STORE001,1768.1516563996975
SALE0100036,2025-01-15,P2474,5,6595.05,CUST00416,STORE007,1316.529624658011
SALE0100037,2025-04-30,P1988,4,92392.16,CUST00925,STORE010,20744.86123723353
SALE0100038,2025-06-09,P1734,3,84.36,CUST00226,STORE010,16.988219107353775
SALE0100039,2025-04-20,P1000,1,1432.27,CUST00803,STORE004,310.0162956539473
SALE0100040,2025-01-21,P2071,2,2707.86,CUST00467,STORE002,471.36385320541444
SALE0100041,2025-05-22,P1547,3,1823.31,CUST00405,STORE010,337.48738039809297
SALE0100042,2025-05-23,P1102,4,12338.68,CUST00683,STORE002,2937.129172158244
SALE0100043,2025-04-05,P1435,4,270462.44,CUST00292,STORE007,60602.21509068917
SALE0100044,2025-01-08,P1022,4,4005.64,CUST00546,STORE007,908.2873729901859
SALE0100045,2025-01-17,P2161,4,1472.64,CUST00802,STORE008,245.65046490526984
SALE0100046,2025-03-31,P1522,3,2647.17,CUST00313,STORE009,544.7094506680356
SALE0100047,2025-06-12,P2333,4,242210.12,CUST00689,STORE007,38244.019707540836
SALE0100048,2025-06-07,P2466,5,3361.1,CUST00276,STORE006,700.6575915538983
SALE0100049,2025-01-01,P1750,4,2901.2,CUST00962,STORE005,460.10254958618793
SALE0100050,2025-03-17,P1142,1,2032.22,CUST00086,STORE007,306.9455376275241
SALE0100051,2025-06-13,P1870,5,2271.95,CUST00749,STORE001,344.6845818824472
SALE0100052,2025-01-18,P2262,4,2027.72,CUST00138,STORE002,366.44309623040255
SALE0100053,2025-01-30,P2395,2,3768.76,CUST00523,STORE005,914.8554287287973
SALE0100054,2025-06-27,P2394,2,2224.6,CUST00982,STORE002,455.13493430304214
SALE0100055,2025-04-01,P1485,3,1535.88,CUST00461,STORE004,339.23669817399906
SALE0100056,2025-03-03,P1978,3,51567.75,CUST00626,STORE005,10475.045525604284
SALE0100057,2025-06-10,P1914,1,1424.71,CUST00949,STORE009,228.0746924153802
SALE0100058,2025-01-02,P2480,3,3115.95,CUST00226,STORE006,671.5644497948072
SALE0100059,2025-05-24,P2389,2,1014.94,CUST00463,STORE003,156.03797567556208
SALE0100060,2025-06-04,P1478,5,2034.85,CUST00695,STORE008,339.1283886227677
SALE0100061,2025-01-14,P1159,5,419.55,CUST00062,STORE010,89.74147056261253
SALE0100062,2025-06-07,P2081,3,347.25,CUST00234,STORE006,64.63678214749596
SALE0100063,2025-01-14,P1492,2,2413.68,CUST00545,STORE003,394.6622326240369
SALE0100064,2025-01-16,P2001,3,817.02,CUST00393,STORE002,149.53466945033298
SALE0100065,2025-02-11,P1211,4,7467.08,CUST00979,STORE007,1513.9619580686335
SALE0100066,2025-03-04,P1894,5,11104.8,CUST00309,STORE003,2466.362129631594
SALE0100067,2025-03-04,P1324,2,758.24,CUST00150,STORE002,140.34728895261117
SALE0100068,2025-05-14,P1571,4,1805.64,CUST00228,STORE001,413.4294663685068
SALE0100069,2025-05-19,P1737,4,710.4,CUST00615,STORE004,158.37293911356068
SALE0100070,2025-05-08,P2342,1,955.03,CUST00670,STORE008,196.9992250472152
SALE0100071,2025-04-12,P1595,3,9049.95,CUST00100,STORE008,2217.7361746156516
SALE0100072,2025-06-03,P2220,1,62.43,CUST00088,STORE004,13.393560061468493
SALE0100073,2025-06-24,P2023,2,7738.84,CUST00820,STORE004,1396.8532969274672
SALE0100074,2025-04-22,P1395,3,151.44,CUST00651,STORE004,24.278709729771034
SALE0100075,2025-03-17,P1215,5,6877.5,CUST00425,STORE003,1714.7236699115424
SALE0100076,2025-02-06,P2104,1,677.56,CUST00723,STORE003,151.9283940608684
SALE0100077,2025-03-15,P1284,2,2547.46,CUST00656,STORE001,618.967851834002
SALE0100078,2025-05-09,P1066,5,11066.6,CUST00319,STORE004,1833.878034179296
SALE0100079,2025-06-08,P1959,3,860.67,CUST00637,STORE007,213.41556208296547
SALE0100080,2025-06-16,P1000,4,5729.08,CUST00552,STORE001,1164.8741809414862
SALE0100081,2025-02-17,P2044,1,1027.7,CUST00682,STORE008,226.33173594021332
SALE0100082,2025-03-24,P1615,5,1338.5,CUST00708,STORE006,218.98441236943185
SALE0100083,2025-06-25,P1179,5,3737.2,CUST00477,STORE007,585.0931695784907
SALE0100084,2025-02-09,P1728,5,994.05,CUST00370,STORE001,188.97777147983402
SALE0100085,2025-05-19,P1821,5,7726.55,CUST00321,STORE001,1177.8063036001445
SALE0100086,2025-05-10,P1322,5,1364.4,CUST00390,STORE008,244.30532716840662
SALE0100087,2025-05-30,P2129,3,3232.77,CUST00659,STORE002,570.4875827166929
SALE0100088,2025-02-05,P1914,4,5698.84,CUST00644,STORE001,1363.3406499392397
SALE0100089,2025-01-06,P1791,4,2627.92,CUST00053,STORE005,528.5595369820221
SALE0100090,2025-04-08,P2173,3,855.48,CUST00004,STORE010,149.21304011474848
SALE0100091,2025-02-11,P1639,4,1064.32,CUST00365,STORE006,159.8652451405878
SALE0100092,2025-01-22,P1299,3,41932.44,CUST00133,STORE008,8333.44998580723
SALE0100093,2025-05-25,P2146,5,894.5,CUST00730,STORE005,157.81751559553817
SALE0100094,2025-05-15,P2110,3,444.03,CUST00581,STORE003,81.45556614035826
SALE0100095,2025-05-24,P1409,3,4885.65,CUST00415,STORE007,844.3332612485782
SALE0100096,2025-03-13,P1635,1,3486.88,CUST00648,STORE005,682.6000417655517
SALE0100097,2025-01-12,P2493,2,948.8,CUST00063,STORE006,198.5611489450648
SALE0100098,2025-06-13,P1614,2,1600.26,CUST00706,STORE002,241.10277253653695
SALE0100099,2025-05-17,P2156,1,30.82,CUST00445,STORE002,5.519353476206257
SALE0100100,2025-01-30,P2067,1,616.44,CUST00920,STORE008,143.89357441729078
SALE0100101,2025-05-17,P1559,1,350.59,CUST00490,STORE010,71.15247077962192
SALE0100102,2025-01-12,P2017,3,834.51,CUST00457,STORE002,202.07128915349537
SALE0100103,2025-03-13,P1464,1,530.94,CUST00366,STORE010,118.21826001356115
SALE0100104,2025-01-25,P1192,1,930.93,CUST00612,STORE008,204.31101967932148
SALE0100105,2025-01-16,P1716,2,2652.4,CUST00156,STORE006,620.2318248901267
SALE0100106,2025-03-22,P1492,4,4827.36,CUST00011,STORE005,1167.6442297727967
SALE0100107,2025-05-25,P2118,4,600.12,CUST00211,STORE006,148.1814611187285
SALE0100108,2025-02-03,P2056,5,3454.3,CUST00222,STORE008,566.5084900468216
SALE0100109,2025-04-13,P1543,2,443.56,CUST00861,STORE004,72.87929947188972
SALE0100110,2025-01-20,P2426,5,278297.0,CUST00041,STORE006,66986.93984672576
SALE0100111,2025-05-26,P1692,2,1546.9,CUST00946,STORE004,369.74414143369523
SALE0100112,2025-01-23,P1652,4,785.48,CUST00242,STORE002,127.84193532114784
SALE0100113,2025-03-03,P2326,1,2175.17,CUST00769,STORE007,514.822249874622
SALE0100114,2025-04-20,P1205,2,111010.44,CUST00610,STORE007,23315.30632348978
SALE0100115,2025-03-01,P1950,5,2019.5,CUST00543,STORE005,303.5281801693756
SALE0100116,2025-04-07,P1864,3,1365.57,CUST00573,STORE006,326.6225582889779
SALE0100117,2025-06-02,P2400,1,714.24,CUST00719,STORE001,135.21172534737016
SALE0100118,2025-04-13,P1822,1,2198.65,CUST00856,STORE008,394.2148346144924
SALE0100119,2025-05-16,P2141,3,5224.14,CUST00140,STORE005,820.2696835792514
SALE0100120,2025-06-02,P1584,3,2586.03,CUST00072,STORE009,612.6605029706493
SALE0100121,2025-01-19,P1100,5,2658.6,CUST00059,STORE001,640.6020773014344
SALE0100122,2025-04-17,P1348,2,895.74,CUST00216,STORE002,216.8175959499523
SALE0100123,2025-05-04,P1800,3,3875.16,CUST00785,STORE009,907.486835099407
SALE0100124,2025-05-20,P1112,1,207.42,CUST00359,STORE004,47.471523887479506
SALE0100125,2025-04-14,P2413,5,6244.15,CUST00276,STORE004,1431.9090567550738
SALE0100126,2025-02-08,P1481,5,6577.75,CUST00990,STORE005,1078.4628203686034
SALE0100127,2025-05-24,P1037,1,725.59,CUST00986,STORE008,115.88096126392966
SALE0100128,2025-03-24,P1795,4,2997.72,CUST00053,STORE006,698.6952405128998
SALE0100129,2025-02-10,P1804,3,171694.05,CUST00008,STORE007,29321.25926187409
SALE0100130,2025-04-10,P2088,1,168.06,CUST00831,STORE004,39.829854720229775
SALE0100131,2025-03-31,P2346,5,225205.6,CUST00845,STORE003,41076.94344997809
SALE0100132,2025-05-07,P2285,2,3943.04,CUST00554,STORE005,912.2428657939128
SALE0100133,2025-04-02,P2124,3,1536.84,CUST00672,STORE003,334.8731267709229
SALE0100134,2025-04-03,P2465,1,8146.69,CUST00613,STORE005,1541.7012430237073
SALE0100135,2025-03-06,P1517,5,10498.1,CUST00433,STORE001,2582.1143226866084
SALE0100136,2025-06-11,P1744,5,1024.3,CUST00113,STORE007,174.30346619653673
SALE0100137,2025-05-31,P1008,4,369.88,CUST00166,STORE009,57.799235826266795
SALE0100138,2025-01-18,P1554,1,772.78,CUST00907,STORE007,169.48419350553328
SALE0100139,2025-03-08,P2424,1,541.16,CUST00504,STORE002,112.86918944171097
SALE0100140,2025-03-17,P1007,5,7116.75,CUST00168,STORE002,1517.1978549256344
SALE0100141,2025-05-17,P2357,2,2529.32,CUST00017,STORE001,584.1990680133636
SALE0100142,2025-05-21,P1129,5,184471.2,CUST00170,STORE007,37506.99012213326
SALE0100143,2025-01-09,P1392,3,1154.61,CUST00575,STORE001,267.7393439203226
SALE0100144,2025-03-25,P2272,2,3017.74,CUST00728,STORE009,698.88501749303
SALE0100145,2025-04-04,P1483,1,2191.84,CUST00562,STORE005,480.55251903434515
SALE0100146,2025-03-23,P1409,2,3257.1,CUST00060,STORE008,508.0648023213276
SALE0100147,2025-06-20,P1323,5,1417.85,CUST00214,STORE005,223.17409324345806
SALE0100148,2025-02-13,P2199,5,14905.0,CUST00272,STORE005,3384.8507770920355
SALE0100149,2025-01-11,P1275,2,1714.94,CUST00668,STORE003,419.9240033868625
SALE0100150,2025-01-31,P1260,1,308.14,CUST00173,STORE010,74.9316999869312
SALE0100151,2025-02-10,P2287,2,5388.16,CUST00549,STORE004,1251.8276614737329
SALE0100152,2025-02-06,P1660,4,684.6,CUST00264,STORE010,139.2785932319093
SALE0100153,2025-06-19,P2318,5,8673.25,CUST00644,STORE003,2012.5346200809363
SALE0100154,2025-05-25,P2164,5,998.2,CUST00783,STORE003,241.9176447719671
SALE0100155,2025-02-11,P1683,5,4291.35,CUST00231,STORE006,677.563971921367
SALE0100156,2025-03-20,P2130,1,684.77,CUST00865,STORE005,157.21390531515675
SALE0100157,2025-02-14,P2412,1,432.57,CUST00404,STORE006,86.77416195026028
SALE0100158,2025-02-10,P1252,1,233.68,CUST00345,STORE004,49.1097392563511
SALE0100159,2025-06-28,P1908,2,545.98,CUST00398,STORE003,128.73274664644615
SALE0100160,2025-06-13,P2195,5,8324.0,CUST00723,STORE008,1314.510690732427
SALE0100161,2025-02-03,P1536,2,194220.68,CUST00438,STORE006,40860.96166473367
SALE0100162,2025-01-09,P1471,4,735.08,CUST00376,STORE001,139.743078212214
SALE0100163,2025-04-16,P1292,1,845.69,CUST00005,STORE003,146.30475679188768
SALE0100164,2025-02-16,P1989,3,10206.3,CUST00424,STORE002,1551.4974953226897
SALE0100165,2025-01-20,P1358,4,5284.36,CUST00278,STORE010,859.0044755540796
SALE0100166,2025-06-21,P2250,1,86.71,CUST00912,STORE007,15.704656710714055
SALE0100167,2025-06-25,P2074,3,1010.01,CUST00117,STORE003,222.71816926816317
SALE0100168,2025-06-06,P2296,1,2049.67,CUST00369,STORE007,368.94835567500553
SALE0100169,2025-03-20,P1330,2,169.26,CUST00977,STORE008,33.698386249989994
SALE0100170,2025-03-08,P1790,2,611.84,CUST00703,STORE001,96.70220719354131
SALE0100171,2025-01-11,P1293,5,828.3,CUST00803,STORE004,133.16232435935655
SALE0100172,2025-04-01,P1866,5,3852.3,CUST00136,STORE006,866.9139328180627
SALE0100173,2025-06-24,P1774,2,2024.04,CUST00329,STORE002,432.2534793745478
SALE0100174,2025-05-06,P1592,5,6763.85,CUST00526,STORE006,1482.6249189014025
SALE0100175,2025-06-14,P1716,4,5304.8,CUST00252,STORE003,1291.117394315112
SALE0100176,2025-06-10,P1834,4,3874.68,CUST00345,STORE004,726.3848879388024
SALE0100177,2025-04-10,P1093,5,7229.45,CUST00470,STORE008,1578.6396115042855
SALE0100178,2025-04-29,P2079,1,1841.34,CUST00129,STORE003,455.9908668373366
SALE0100179,2025-01-27,P1955,5,797.4,CUST00001,STORE010,174.5145834155572
SALE0100180,2025-04-02,P1371,5,1132.5,CUST00387,STORE002,251.31009948864323
SALE0100181,2025-05-25,P1296,5,1448.3,CUST00781,STORE009,241.09325610468738
SALE0100182,2025-01-08,P1782,1,1301.12,CUST00882,STORE003,221.6985911465232
SALE0100183,2025-06-24,P1749,2,1916.72,CUST00464,STORE007,384.1484184063934
SALE0100184,2025-04-28,P2027,1,548.43,CUST00633,STORE002,106.84856719016273
SALE0100185,2025-03-05,P2142,1,280.42,CUST00687,STORE008,52.12775075934047
SALE0100186,2025-02-11,P2299,4,3551.56,CUST00429,STORE009,838.2579491957185
SALE0100187,2025-05-02,P2342,1,955.03,CUST00103,STORE007,166.21413332821643
SALE0100188,2025-04-19,P1842,2,2125.1,CUST00799,STORE003,421.19552481326326
SALE0100189,2025-01-18,P1761,4,1584.92,CUST00140,STORE006,321.34076212039463
SALE0100190,2025-04-29,P2301,1,29673.28,CUST00073,STORE001,4727.807796564115
SALE0100191,2025-04-05,P2113,2,1887.92,CUST00028,STORE001,456.9513228252893
SALE0100192,2025-04-30,P1549,3,292.53,CUST00711,STORE010,59.185269895540706
SALE0100193,2025-02-04,P2261,3,1149.18,CUST00160,STORE010,200.09450428862473
SALE0100194,2025-02-25,P2109,5,2118.15,CUST00790,STORE002,332.8304036401057
SALE0100195,2025-03-23,P1376,1,531.17,CUST00417,STORE008,80.11142305513378
SALE0100196,2025-02-16,P2203,2,3608.96,CUST00078,STORE003,772.5393695089574
SALE0100197,2025-04-26,P1110,3,102654.54,CUST00603,STORE005,17009.97068055663
SALE0100198,2025-01-19,P1426,5,1153.75,CUST00313,STORE004,176.98058001644242
SALE0100199,2025-02-22,P1580,2,314.16,CUST00309,STORE003,65.33309965692229
SALE0100200,2025-02-23,P1482,4,4652.32,CUST00721,STORE009,979.9683611943614
SALE0100201,2025-03-27,P1947,2,97.46,CUST00903,STORE001,18.677630951387908
SALE0100202,2025-02-25,P1809,5,3544.95,CUST00196,STORE001,786.6512809055139
SALE0100203,2025-01-21,P1879,3,6834.15,CUST00272,STORE010,1289.1787063457195
SALE0100204,2025-05-22,P2496,1,56.72,CUST00680,STORE002,13.616292599449014
SALE0100205,2025-06-29,P1036,2,2197.54,CUST00092,STORE007,509.10221418283203
SALE0100206,2025-02-02,P2212,3,8812.17,CUST00959,STORE006,1626.9725191081088
SALE0100207,2025-05-12,P1128,3,320.58,CUST00545,STORE001,67.92271434030935
SALE0100208,2025-04-21,P1493,4,549.88,CUST00844,STORE001,108.22467542452873
SALE0100209,2025-03-17,P2061,1,104.24,CUST00965,STORE010,18.536890294758656
SALE0100210,2025-02-09,P1512,3,8364.12,CUST00615,STORE009,1312.786917356329
SALE0100211,2025-04-14,P1582,2,216.82,CUST00662,STORE009,36.88044401090648
SALE0100212,2025-06-14,P2031,1,191.17,CUST00868,STORE006,47.52272960395412
SALE0100213,2025-05-25,P2092,2,96877.0,CUST00181,STORE008,22454.568109675667
SALE0100214,2025-06-18,P2280,4,451.96,CUST00380,STORE006,112.6268527515289
SALE0100215,2025-02-26,P1569,1,1015.83,CUST00912,STORE003,246.87850932315416
SALE0100216,2025-01-03,P1221,3,5886.63,CUST00681,STORE003,974.0460540450493
SALE0100217,2025-03-06,P1455,5,9876.65,CUST00854,STORE002,1609.4332080530812
SALE0100218,2025-06-26,P2164,2,399.28,CUST00758,STORE009,76.98663329446592
SALE0100219,2025-03-13,P1930,2,744.36,CUST00168,STORE004,161.27868421827324
SALE0100220,2025-02-19,P1869,3,5103.06,CUST00465,STORE002,979.5139953512671
SALE0100221,2025-01-30,P2474,1,1319.01,CUST00800,STORE006,215.21404984081798
SALE0100222,2025-01-09,P1968,1,865.12,CUST00891,STORE007,207.52088134870863
SALE0100223,2025-06-26,P1447,1,246.2,CUST00870,STORE004,57.568295558710886
SALE0100224,2025-06-13,P2435,5,3510.8,CUST00991,STORE001,574.1156084216931
SALE0100225,2025-01-28,P1812,1,520.09,CUST00561,STORE010,87.39968372586556
SALE0100226,2025-05-04,P1045,2,652.94,CUST00738,STORE001,102.12911413410055
SALE0100227,2025-06-08,P1744,5,1024.3,CUST00882,STORE001,157.60864770376773
SALE0100228,2025-06-21,P1365,4,941.44,CUST00181,STORE007,177.78188307928326
SALE0100229,2025-02-12,P1067,2,22225.96,CUST00095,STORE004,5470.317628965107
SALE0100230,2025-06-19,P2344,1,245.94,CUST00898,STORE006,59.79190274690347
SALE0100231,2025-02-07,P1279,5,709.15,CUST00079,STORE004,115.59207854697057
SALE0100232,2025-01-13,P2183,1,145.22,CUST00654,STORE009,33.20649099085673
SALE0100233,2025-04-20,P2221,2,140.06,CUST00772,STORE009,26.338165917238562
SALE0100234,2025-05-12,P1528,2,462.8,CUST00245,STORE001,78.05993769884715
SALE0100235,2025-01-08,P2493,1,474.4,CUST00293,STORE010,75.4468304821266
SALE0100236,2025-03-07,P2119,3,129.48,CUST00089,STORE006,24.98268940615443
SALE0100237,2025-05-24,P1499,2,799.48,CUST00976,STORE001,138.68210304450568
SALE0100238,2025-06-29,P2297,1,517.69,CUST00296,STORE006,101.88243789010163
SALE0100239,2025-05-03,P1887,4,13901.4,CUST00465,STORE005,2767.2960672070426
SALE0100240,2025-06-08,P1423,5,6526.75,CUST00708,STORE006,1511.7021654234509
SALE0100241,2025-03-03,P1243,2,40233.8,CUST00696,STORE001,8500.206176844966
SALE0100242,2025-05-20,P2127,2,1373.14,CUST00286,STORE005,221.0311547686958
SALE0100243,2025-02-08,P2423,4,825.68,CUST00517,STORE008,155.78337638724926
SALE0100244,2025-04-28,P1602,3,2969.67,CUST00770,STORE004,654.0086404435032
SALE0100245,2025-06-11,P1382,5,2532.55,CUST00432,STORE003,599.6990478076472
SALE0100246,2025-05-25,P1362,1,436.59,CUST00063,STORE001,81.3823542364191
SALE0100247,2025-03-04,P2167,2,639.78,CUST00743,STORE003,98.51240015521759
SALE0100248,2025-05-01,P1838,3,1001.34,CUST00288,STORE002,239.95808798159834
SALE0100249,2025-02-10,P1947,4,194.92,CUST00478,STORE005,41.66703204886851
SALE0100250,2025-02-06,P2173,5,1425.8,CUST00861,STORE001,329.43003524036476
SALE0100251,2025-06-06,P1058,1,1021.57,CUST00760,STORE009,161.16427805362392
SALE0100252,2025-06-17,P1976,3,6972.9,CUST00470,STORE008,1321.7643995531603
SALE0100253,2025-06-28,P2270,1,2384.45,CUST00113,STORE006,481.9715894835893
SALE0100254,2025-01-04,P2066,2,1026.54,CUST00399,STORE003,196.4868887928281
SALE0100255,2025-03-14,P1736,1,1282.47,CUST00866,STORE009,314.08036025602587
SALE0100256,2025-05-12,P2433,3,464.43,CUST00466,STORE008,101.62055880662044
SALE0100257,2025-04-22,P1338,3,365.55,CUST00792,STORE007,82.15129409495472
SALE0100258,2025-02-22,P1789,1,394.42,CUST00265,STORE004,85.54944249917443
SALE0100259,2025-05-22,P2425,5,7309.7,CUST00023,STORE002,1260.1456835618949
SALE0100260,2025-05-04,P1690,2,263.6,CUST00269,STORE003,59.87394524729046
SALE0100261,2025-02-17,P1685,3,861.96,CUST00206,STORE010,160.88888263805754
SALE0100262,2025-05-06,P1502,2,4340.92,CUST00585,STORE005,667.8429050648638
SALE0100263,2025-01-24,P2495,5,1168.8,CUST00728,STORE004,214.85826494330823
SALE0100264,2025-05-18,P1130,5,4280.75,CUST00080,STORE003,695.3246057322367
SALE0100265,2025-02-09,P2163,1,207.72,CUST00427,STORE008,45.48896907581631
SALE0100266,2025-04-25,P2473,4,2949.24,CUST00098,STORE005,599.1294040286361
SALE0100267,2025-05-06,P1236,3,2765.04,CUST00872,STORE008,609.0505216469909
SALE0100268,2025-03-31,P2007,1,767.78,CUST00968,STORE010,148.80027929492366
SALE0100269,2025-04-12,P2359,1,1067.87,CUST00281,STORE009,186.1794459296343
SALE0100270,2025-06-18,P1417,5,3599.05,CUST00075,STORE008,689.2193169978444
SALE0100271,2025-02-05,P1518,5,5096.7,CUST00898,STORE007,1146.015211331961
SALE0100272,2025-05-16,P2326,2,4350.34,CUST00454,STORE005,763.8553618737707
SALE0100273,2025-02-21,P1743,5,3939.75,CUST00598,STORE003,898.1760824888008
SALE0100274,2025-04-05,P2187,1,782.63,CUST01000,STORE003,146.84378422562102
SALE0100275,2025-03-02,P1274,5,351228.15,CUST00772,STORE007,71279.23395710187
SALE0100276,2025-01-01,P1223,4,4287.08,CUST00638,STORE005,827.6894194681786
SALE0100277,2025-01-19,P1442,3,2050.17,CUST00706,STORE009,466.1885423610543
SALE0100278,2025-04-08,P1104,2,1387.34,CUST00187,STORE008,314.8440065601717
SALE0100279,2025-05-19,P1602,3,2969.67,CUST00506,STORE008,494.8787070073097
SALE0100280,2025-05-28,P1055,1,1311.2,CUST00126,STORE009,268.8959659580982
SALE0100281,2025-04-05,P1381,5,14617.1,CUST00512,STORE001,2479.366054054869
SALE0100282,2025-04-19,P2045,5,2878.9,CUST00937,STORE003,507.8618017583608
SALE0100283,2025-04-20,P2059,1,1214.25,CUST00845,STORE006,209.3073203443813
SALE0100284,2025-06-04,P2165,3,1426.71,CUST00086,STORE001,310.7959356076803
SALE0100285,2025-04-04,P1178,1,754.77,CUST00343,STORE002,177.4783077535234
SALE0100286,2025-04-21,P1269,5,1296.2,CUST00281,STORE002,215.41907389408152
SALE0100287,2025-02-07,P1409,5,8142.75,CUST00264,STORE004,1528.1954902164164
SALE0100288,2025-06-18,P2151,4,312.0,CUST00248,STORE008,61.76801905848037
SALE0100289,2025-03-27,P2231,5,15514.8,CUST00569,STORE010,3764.0501614702107
SALE0100290,2025-01-25,P1694,4,2134.44,CUST00060,STORE009,508.0689854819618
SALE0100291,2025-01-27,P1427,4,403.12,CUST00905,STORE004,93.67359169887071
SALE0100292,2025-03-26,P1650,1,1454.42,CUST00159,STORE009,306.39703210951853
SALE0100293,2025-05-06,P2387,5,283.85,CUST00854,STORE007,57.47033405940075
SALE0100294,2025-05-12,P1341,3,282741.93,CUST00155,STORE001,67045.75093230273
SALE0100295,2025-06-28,P1792,1,650.04,CUST00445,STORE003,124.96410327476096
SALE0100296,2025-01-14,P1581,3,367.89,CUST00696,STORE002,85.13401461305668
SALE0100297,2025-04-06,P1274,1,70245.63,CUST00235,STORE002,14197.892237286209
SALE0100298,2025-02-10,P1680,1,3124.44,CUST00401,STORE006,651.9721788373487
SALE0100299,2025-06-21,P2228,4,4425.36,CUST00393,STORE007,725.419642001709
SALE0100300,2025-06-25,P2497,1,712.24,CUST00243,STORE004,124.62456071121277
SALE0100301,2025-06-23,P2424,2,1082.32,CUST00690,STORE001,253.66835561232793
SALE0100302,2025-02-28,P1128,4,427.44,CUST00465,STORE008,86.87404261146638
SALE0100303,2025-01-21,P2023,2,7738.84,CUST00400,STORE010,1671.7200738176098
SALE0100304,2025-05-05,P1217,4,14262.2,CUST00731,STORE010,2933.603263011787
SALE0100305,2025-05-29,P1661,2,374.1,CUST00853,STORE002,80.78355377417866
SALE0100306,2025-01-29,P1964,4,4264.36,CUST00556,STORE002,826.4702795364803
SALE0100307,2025-03-22,P2274,5,15868.1,CUST00272,STORE002,3211.221335932108
SALE0100308,2025-05-08,P2353,4,1571.88,CUST00464,STORE009,328.4721184798212
SALE0100309,2025-01-30,P1486,4,3190.84,CUST00952,STORE007,645.2672681419016
SALE0100310,2025-03-09,P1948,3,910.29,CUST00411,STORE010,153.35770455855928
SALE0100311,2025-03-11,P1766,3,845.88,CUST00759,STORE007,145.9821506753421
SALE0100312,2025-02-17,P1240,2,643.62,CUST00310,STORE007,154.41640427340806
SALE0100313,2025-06-16,P2085,4,1776.56,CUST00583,STORE003,281.90904036849213
SALE0100314,2025-03-04,P2417,2,243.38,CUST00679,STORE010,47.98720524649888
SALE0100315,2025-04-12,P1892,1,39.52,CUST00679,STORE001,7.662631780082865
SALE0100316,2025-04-26,P2256,3,5094.21,CUST00231,STORE010,1068.9129433953058
SALE0100317,2025-05-01,P1986,2,3687.66,CUST00048,STORE003,732.6970603577906
